fct_date,fct_mean,cnty,horizon,method,step_ahead
2022-10-09,13.199999999999998,45,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,13.199999999999998,45,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,13.199999999999998,45,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,0.0,10,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,0.0,10,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,0.0,10,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,0.0,10,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,13.399999999999995,34,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,13.399999999999995,34,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,13.399999999999995,34,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,13.399999999999995,34,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,1.3999999999999997,55,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,1.3999999999999997,55,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,1.3999999999999997,55,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,1.3999999999999997,55,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,0.9987162625077526,49,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,0.2810227934256917,49,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,0.7967687914628917,49,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,0.4261454739181506,49,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,29.80471656606355,47,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,25.899138909878488,47,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,25.899138909878488,47,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,25.899138909878488,47,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,7.1999999999999975,05,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,7.1999999999999975,05,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,7.1999999999999975,05,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,7.1999999999999975,05,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,0.0,11,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,0.0,11,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,0.0,11,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,0.0,11,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,805.5273308641503,US,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,768.8314593883307,US,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,741.6126533911815,US,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,721.4233685993312,US,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,73.19999999999997,12,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,73.19999999999997,12,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,73.19999999999997,12,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,73.19999999999997,12,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,0.0,23,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,0.0,23,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,0.0,23,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,0.0,23,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,8.999999999999998,17,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,8.999999999999998,17,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,8.999999999999998,17,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,8.999999999999998,17,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,37.79999999999999,13,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,37.79999999999999,13,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,37.79999999999999,13,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,37.79999999999999,13,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,0.0,50,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,0.0,50,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,0.0,50,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,0.0,50,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,1.3999999999999997,27,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,1.3999999999999997,27,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,1.3999999999999997,27,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,1.3999999999999997,27,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,12.530500424726114,21,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,8.914071743762575,21,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,8.914071743762575,21,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,8.914071743762575,21,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,16.18892737803969,28,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,26.470500985117273,28,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,9.700807716194438,28,2022-09-25,ARIMA_LO,3-step_ahead
