cnty,horizon,method,fct_date,step_ahead,fct_mean,fct_std,true
06059,2022-02-13,AR_spatial,2022-02-20,1-step_ahead,3821.068772806899,405.2500181112757,2061.0
06065,2022-02-13,AR_spatial,2022-02-20,1-step_ahead,6353.216488629048,1074.0527149742547,3226.0
06073,2022-02-13,AR_spatial,2022-02-20,1-step_ahead,10256.514973949212,1361.8204274308705,7218.0
17031,2022-02-13,AR_spatial,2022-02-20,1-step_ahead,7550.105709874725,980.0073457873418,4085.0
36047,2022-02-13,AR_spatial,2022-02-20,1-step_ahead,2744.827016266724,356.28071563563464,1872.0
48113,2022-02-13,AR_spatial,2022-02-20,1-step_ahead,3304.161306708268,212.49303278106677,2362.0
48201,2022-02-13,AR_spatial,2022-02-20,1-step_ahead,8864.041865224552,859.0950771807553,4285.0
04013,2022-02-06,AR_spatial,2022-02-13,1-step_ahead,20235.559291749767,2743.944530070661,9607.0
06037,2022-02-06,AR_spatial,2022-02-13,1-step_ahead,37139.464695874216,5535.097391842392,23265.0
06059,2022-02-06,AR_spatial,2022-02-13,1-step_ahead,7558.324288169058,1032.9948699891766,3822.0
06065,2022-02-06,AR_spatial,2022-02-13,1-step_ahead,11812.22792908535,1465.8123158773185,6494.0
06073,2022-02-06,AR_spatial,2022-02-13,1-step_ahead,17571.925748039615,2400.5382573838037,10184.0
17031,2022-02-06,AR_spatial,2022-02-13,1-step_ahead,7867.259497958854,773.5938425124666,7471.0
36047,2022-02-06,AR_spatial,2022-02-13,1-step_ahead,4690.718396443966,705.3062868028842,2725.0
48113,2022-02-06,AR_spatial,2022-02-13,1-step_ahead,6345.465165916451,317.63611010946494,3286.0
48201,2022-02-06,AR_spatial,2022-02-13,1-step_ahead,12219.831463906245,1173.948239202912,8812.0
04013,2022-01-30,AR_spatial,2022-02-06,1-step_ahead,40048.73040109111,5162.290221105327,20091.0
06037,2022-01-30,AR_spatial,2022-02-06,1-step_ahead,88864.25580844781,9437.68115954952,36842.0
06059,2022-01-30,AR_spatial,2022-02-06,1-step_ahead,24389.75081154249,3896.749301326429,7564.0
06065,2022-01-30,AR_spatial,2022-02-06,1-step_ahead,16456.965591629065,2380.3439654898293,11994.0
06073,2022-01-30,AR_spatial,2022-02-06,1-step_ahead,23663.385210422333,3001.273946193616,17394.0
17031,2022-01-30,AR_spatial,2022-02-06,1-step_ahead,14631.866264523267,1608.2640431287186,7850.0
36047,2022-01-30,AR_spatial,2022-02-06,1-step_ahead,5587.80807352886,725.5652585341278,4606.0
48113,2022-01-30,AR_spatial,2022-02-06,1-step_ahead,12465.757802824206,1037.926784857921,6348.0
48201,2022-01-30,AR_spatial,2022-02-06,1-step_ahead,18749.68031105469,1300.9985453384293,12119.0
04013,2022-01-16,AR_spatial,2022-01-23,1-step_ahead,105394.95839333277,13042.972631594654,68480.0
06037,2022-01-16,AR_spatial,2022-01-23,1-step_ahead,255885.0102266541,37688.609931294304,164197.0
06059,2022-01-16,AR_spatial,2022-01-23,1-step_ahead,51598.48517378396,6823.078852679197,33060.0
06065,2022-01-16,AR_spatial,2022-01-23,1-step_ahead,47608.42078216832,7188.26050397397,35527.0
06073,2022-01-16,AR_spatial,2022-01-23,1-step_ahead,72567.72953157485,10298.825967739444,58503.0
17031,2022-01-16,AR_spatial,2022-01-23,1-step_ahead,56814.00606480533,4551.382796083882,31838.0
36047,2022-01-16,AR_spatial,2022-01-23,1-step_ahead,32189.037818029054,4291.10486570235,17964.0
48113,2022-01-16,AR_spatial,2022-01-23,1-step_ahead,30861.04923741445,2837.812005137623,21087.0
48201,2022-01-16,AR_spatial,2022-01-23,1-step_ahead,48734.645244772575,3767.200680816904,29527.0
04013,2022-01-09,AR_spatial,2022-01-16,1-step_ahead,68738.31860230255,10617.76889255432,104602.0
06037,2022-01-09,AR_spatial,2022-01-16,1-step_ahead,293995.85882801376,38302.68953061371,254133.0
06059,2022-01-09,AR_spatial,2022-01-16,1-step_ahead,62583.375175514695,8516.569270851562,50875.0
06065,2022-01-09,AR_spatial,2022-01-16,1-step_ahead,44486.29158589092,6794.787377204047,48846.0
06073,2022-01-09,AR_spatial,2022-01-16,1-step_ahead,98117.60175614891,15459.521275381285,72148.0
17031,2022-01-09,AR_spatial,2022-01-16,1-step_ahead,69624.0694788484,7633.33176706591,56650.0
36047,2022-01-09,AR_spatial,2022-01-16,1-step_ahead,60060.20799252258,8510.175592635684,31839.0
48113,2022-01-09,AR_spatial,2022-01-16,1-step_ahead,27286.13609940592,1884.5358089963693,30690.0
48201,2022-01-09,AR_spatial,2022-01-16,1-step_ahead,133114.7232180424,13852.983385005004,48575.0
04013,2022-01-02,AR_spatial,2022-01-09,1-step_ahead,49563.309613109646,6126.6639526950485,68587.0
06037,2022-01-02,AR_spatial,2022-01-09,1-step_ahead,225382.3690747785,24808.81225693389,291774.0
06059,2022-01-02,AR_spatial,2022-01-09,1-step_ahead,38819.72042075944,4520.413797947652,61830.0
06065,2022-01-02,AR_spatial,2022-01-09,1-step_ahead,26124.64520717056,1933.4842795014097,46172.0
06073,2022-01-02,AR_spatial,2022-01-09,1-step_ahead,47256.56503212418,4800.450932167496,97036.0
17031,2022-01-02,AR_spatial,2022-01-09,1-step_ahead,96670.42421651135,12369.910152409151,69479.0
36047,2022-01-02,AR_spatial,2022-01-09,1-step_ahead,78666.63797365548,8022.283332423072,59533.0
48113,2022-01-02,AR_spatial,2022-01-09,1-step_ahead,37530.52185113429,3857.629914371143,38863.0
48201,2022-01-02,AR_spatial,2022-01-09,1-step_ahead,87105.80105104837,8921.22641665169,62549.0
04013,2021-12-26,AR_spatial,2022-01-02,1-step_ahead,24056.172027995926,3446.074728705413,49290.0
06037,2021-12-26,AR_spatial,2022-01-02,1-step_ahead,101816.79798308904,12867.966764395936,225308.0
06059,2021-12-26,AR_spatial,2022-01-02,1-step_ahead,14554.502599740268,1580.4571223793184,38617.0
06065,2021-12-26,AR_spatial,2022-01-02,1-step_ahead,12913.40386280498,1849.4023560158344,27894.0
06073,2021-12-26,AR_spatial,2022-01-02,1-step_ahead,21096.616084609686,3122.067892342287,47365.0
17031,2021-12-26,AR_spatial,2022-01-02,1-step_ahead,61901.172759686175,4862.234673141545,95907.0
36047,2021-12-26,AR_spatial,2022-01-02,1-step_ahead,84453.03105200415,9972.250322819104,78592.0
48113,2021-12-26,AR_spatial,2022-01-02,1-step_ahead,8993.669904548939,943.7687364637188,31893.0
48201,2021-12-26,AR_spatial,2022-01-02,1-step_ahead,34120.695898630096,2788.70299216113,74098.0
04013,2021-12-19,AR_spatial,2021-12-26,1-step_ahead,14009.287835346731,2189.1130769801607,23846.0
06037,2021-12-19,AR_spatial,2021-12-26,1-step_ahead,34750.93572215248,5075.869036152319,101343.0
06059,2021-12-19,AR_spatial,2021-12-26,1-step_ahead,3753.686373634528,504.9627821386856,14466.0
06065,2021-12-19,AR_spatial,2021-12-26,1-step_ahead,5288.145861589564,596.2977793545017,13858.0
06073,2021-12-19,AR_spatial,2021-12-26,1-step_ahead,9939.811969441604,1274.016731469805,21043.0
17031,2021-12-19,AR_spatial,2021-12-26,1-step_ahead,38385.14374272519,3055.812790897316,61858.0
36047,2021-12-19,AR_spatial,2021-12-26,1-step_ahead,30652.859345941823,4188.408386039469,83759.0
48113,2021-12-19,AR_spatial,2021-12-26,1-step_ahead,3484.800949549583,260.801634086202,11887.0
48201,2021-12-19,AR_spatial,2021-12-26,1-step_ahead,18091.75158427245,1553.7300387062571,37175.0
04013,2021-12-12,AR_spatial,2021-12-19,1-step_ahead,11106.063351487315,1193.994940922698,13816.0
06037,2021-12-12,AR_spatial,2021-12-19,1-step_ahead,14845.440578670688,1912.955215411384,34862.0
06059,2021-12-12,AR_spatial,2021-12-19,1-step_ahead,2457.1056560989105,371.4216852916055,3719.0
06065,2021-12-12,AR_spatial,2021-12-19,1-step_ahead,3837.531065958946,507.31726284570937,5809.0
06073,2021-12-12,AR_spatial,2021-12-19,1-step_ahead,5156.2163812865865,645.1988043274254,9839.0
17031,2021-12-12,AR_spatial,2021-12-19,1-step_ahead,22091.48337975497,1685.03938035067,38306.0
36047,2021-12-12,AR_spatial,2021-12-19,1-step_ahead,10920.05467542193,1552.9497930135833,30455.0
48113,2021-12-12,AR_spatial,2021-12-19,1-step_ahead,2312.070635452146,232.58584771304223,6031.0
48201,2021-12-12,AR_spatial,2021-12-19,1-step_ahead,9029.08436208038,1074.4977018605778,27375.0
04013,2021-12-05,AR_spatial,2021-12-12,1-step_ahead,15509.650634873493,2143.9050733750764,13223.0
06037,2021-12-05,AR_spatial,2021-12-12,1-step_ahead,10953.2580231051,1398.65177681013,14794.0
06059,2021-12-05,AR_spatial,2021-12-12,1-step_ahead,2663.545478677407,372.9834985569397,2447.0
06065,2021-12-05,AR_spatial,2021-12-12,1-step_ahead,3950.963179527972,532.5696195610805,3812.0
06073,2021-12-05,AR_spatial,2021-12-12,1-step_ahead,5856.030699349545,594.6505387013975,5131.0
17031,2021-12-05,AR_spatial,2021-12-12,1-step_ahead,14685.552121459004,1372.0379499256876,21936.0
36047,2021-12-05,AR_spatial,2021-12-12,1-step_ahead,5529.104397716332,686.9980871978858,10889.0
48113,2021-12-05,AR_spatial,2021-12-12,1-step_ahead,6750.633869015665,535.5356145755921,2299.0
48201,2021-12-05,AR_spatial,2021-12-12,1-step_ahead,2818.0122564590165,314.6637956791036,9223.0
04013,2021-11-28,AR_spatial,2021-12-05,1-step_ahead,14919.11845973636,1787.948738492398,15353.0
06037,2021-11-28,AR_spatial,2021-12-05,1-step_ahead,9859.590392375028,1067.830487846867,10863.0
06059,2021-11-28,AR_spatial,2021-12-05,1-step_ahead,2355.2410508295584,207.61481506263985,2641.0
06065,2021-11-28,AR_spatial,2021-12-05,1-step_ahead,4347.604075442702,698.943060535815,3996.0
06073,2021-11-28,AR_spatial,2021-12-05,1-step_ahead,4515.005174793651,725.5192045534834,5824.0
17031,2021-11-28,AR_spatial,2021-12-05,1-step_ahead,15195.098126742065,1206.2312565150112,14546.0
